WARNING:easyocr.easyocr:Using CPU. Note: This module is much faster with a GPU.
INFO:root:[YOLO] CPU Time: 0.5938 s, Memory: 1018.61 MB
INFO:root:[YOLO] CPU Time: 0.1406 s, Memory: 1149.59 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1163.35 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1163.35 MB
INFO:root:[YOLO] CPU Time: 0.3438 s, Memory: 1157.75 MB
INFO:root:[YOLO] CPU Time: 0.2656 s, Memory: 1164.53 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1164.54 MB
INFO:root:[YOLO] CPU Time: 0.2812 s, Memory: 1164.54 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1167.04 MB
INFO:root:[YOLO] CPU Time: 0.1875 s, Memory: 1167.05 MB
INFO:root:[YOLO] CPU Time: 0.0625 s, Memory: 1167.05 MB
INFO:root:[YOLO] CPU Time: 0.2031 s, Memory: 1167.05 MB
INFO:root:[YOLO] CPU Time: 0.0938 s, Memory: 1165.06 MB
INFO:root:[YOLO] CPU Time: 0.2031 s, Memory: 1152.98 MB
INFO:root:[OCR] CPU Time: 2.8438 s, Memory: 1240.80 MB
INFO:root:[Frame Total] CPU Time: 3.0469 s, Memory: 1241.18 MB
INFO:root:[YOLO] CPU Time: 0.3594 s, Memory: 1219.56 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1221.31 MB
INFO:root:[Frame Total] CPU Time: 0.3594 s, Memory: 1224.50 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1246.97 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1246.97 MB
INFO:root:[Frame Total] CPU Time: 0.1719 s, Memory: 1246.97 MB
INFO:root:[YOLO] CPU Time: 0.2031 s, Memory: 1224.64 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1226.46 MB
INFO:root:[Frame Total] CPU Time: 0.2031 s, Memory: 1229.89 MB
INFO:root:[YOLO] CPU Time: 0.2812 s, Memory: 1246.96 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1223.76 MB
INFO:root:[Frame Total] CPU Time: 0.2812 s, Memory: 1227.45 MB
INFO:root:[YOLO] CPU Time: 0.1250 s, Memory: 1244.35 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1245.72 MB
INFO:root:[Frame Total] CPU Time: 0.1875 s, Memory: 1246.96 MB
INFO:root:[YOLO] CPU Time: 0.2188 s, Memory: 1246.97 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1246.97 MB
INFO:root:[Frame Total] CPU Time: 0.2812 s, Memory: 1246.97 MB
INFO:root:[YOLO] CPU Time: 0.1719 s, Memory: 1246.97 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1246.97 MB
INFO:root:[Frame Total] CPU Time: 0.2031 s, Memory: 1246.97 MB
INFO:root:[YOLO] CPU Time: 0.1250 s, Memory: 1246.97 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1246.97 MB
INFO:root:[Frame Total] CPU Time: 0.1250 s, Memory: 1246.98 MB
INFO:root:[YOLO] CPU Time: 0.2344 s, Memory: 1246.98 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1246.98 MB
INFO:root:[Frame Total] CPU Time: 0.2344 s, Memory: 1246.98 MB
INFO:root:[YOLO] CPU Time: 0.1250 s, Memory: 1246.99 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1246.99 MB
INFO:root:[Frame Total] CPU Time: 0.1250 s, Memory: 1246.99 MB
INFO:root:[YOLO] CPU Time: 0.1094 s, Memory: 1246.99 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1246.99 MB
INFO:root:[Frame Total] CPU Time: 0.1094 s, Memory: 1246.99 MB
INFO:root:[YOLO] CPU Time: 0.1094 s, Memory: 1247.78 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1247.78 MB
INFO:root:[Frame Total] CPU Time: 0.1250 s, Memory: 1247.78 MB
INFO:root:[YOLO] CPU Time: 0.2031 s, Memory: 1247.78 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1247.78 MB
INFO:root:[Frame Total] CPU Time: 0.2031 s, Memory: 1247.78 MB
INFO:root:[YOLO] CPU Time: 0.2188 s, Memory: 1247.79 MB
INFO:root:[OCR] CPU Time: 0.0000 s, Memory: 1247.79 MB
INFO:root:[Frame Total] CPU Time: 0.2188 s, Memory: 1247.79 MB
