epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6647,1.32983,2.51796,1.33206,0.02316,0.21959,0.05618,0.0311,2.03281,3.51012,2.16753,0.0674364,0.000163636,0.000163636
2,29.6194,1.20917,1.70808,1.24549,0.3256,0.16323,0.13272,0.09187,2.16152,2.69321,2.45293,0.0342697,0.000330283,0.000330283
3,39.634,1.12322,1.33143,1.19665,0.20345,0.22053,0.10722,0.06796,2.2997,2.60903,2.55942,0.00110291,0.000496848,0.000496848
4,50.1467,1.08085,1.21216,1.14607,0.26028,0.24371,0.11031,0.07577,2.24702,2.99076,2.53673,0.000499725,0.000499725,0.000499725
5,60.7517,1.00625,1.06088,1.1,0.22536,0.2255,0.11125,0.07805,2.20284,3.41536,2.47872,0.000499512,0.000499512,0.000499512
6,71.4501,0.95827,1.00193,1.07248,0.33061,0.21764,0.1527,0.10482,2.15071,2.91178,2.3027,0.000499237,0.000499237,0.000499237
7,82.1293,0.92872,0.91474,1.05351,0.27485,0.26191,0.12021,0.08812,2.11317,3.1518,2.33277,0.000498902,0.000498902,0.000498902
8,92.0918,0.93265,0.89905,1.05088,0.29749,0.25741,0.12485,0.08597,2.1568,3.16876,2.37366,0.000498505,0.000498505,0.000498505
9,102.087,0.90826,0.85757,1.02604,0.31823,0.24909,0.15433,0.10802,2.11665,2.95069,2.33842,0.000498048,0.000498048,0.000498048
10,112.868,0.89893,0.84757,1.03407,0.2581,0.25653,0.11104,0.08191,2.10838,3.03968,2.36139,0.000497531,0.000497531,0.000497531
11,123.522,0.85518,0.78169,1.02095,0.28646,0.26026,0.11882,0.08231,2.11413,3.18202,2.38796,0.000496953,0.000496953,0.000496953
12,134.199,0.83923,0.7636,1.0037,0.27973,0.26704,0.14686,0.099,2.1152,2.99086,2.3499,0.000496315,0.000496315,0.000496315
13,144.749,0.83251,0.7613,1.00851,0.27565,0.26081,0.11909,0.08346,2.09874,3.0858,2.31881,0.000495616,0.000495616,0.000495616
14,154.23,0.81181,0.73618,0.98852,0.26616,0.27223,0.10565,0.07737,2.11536,3.17739,2.32979,0.000494858,0.000494858,0.000494858
15,164.744,0.80347,0.70336,0.98851,0.29232,0.27311,0.13365,0.09584,2.16667,2.97514,2.33241,0.000494039,0.000494039,0.000494039
16,175.391,0.80756,0.69895,0.99871,0.28361,0.27935,0.16328,0.11795,2.12384,2.925,2.3495,0.000493162,0.000493162,0.000493162
17,187.146,0.76167,0.64978,0.96094,0.28104,0.28067,0.12669,0.09082,2.11331,3.13586,2.33081,0.000492224,0.000492224,0.000492224
18,197.689,0.78521,0.65601,0.99432,0.28503,0.26236,0.14382,0.105,2.15353,2.83251,2.36433,0.000491228,0.000491228,0.000491228
19,208.308,0.77615,0.65729,0.96975,0.27174,0.26348,0.10075,0.0697,2.15078,3.26312,2.46874,0.000490173,0.000490173,0.000490173
20,217.887,0.76054,0.64073,0.97902,0.27627,0.26564,0.1325,0.09389,2.13049,3.04696,2.34415,0.000489059,0.000489059,0.000489059
21,228.333,0.76511,0.63026,0.96344,0.26804,0.27551,0.12875,0.09129,2.1466,3.04682,2.37621,0.000487886,0.000487886,0.000487886
22,238.969,0.75787,0.63664,0.97695,0.27088,0.27957,0.12392,0.092,2.08861,3.12612,2.37427,0.000486656,0.000486656,0.000486656
23,249.584,0.7385,0.60892,0.9656,0.27801,0.28495,0.15308,0.11202,2.13349,2.92998,2.3873,0.000485368,0.000485368,0.000485368
24,260.135,0.76149,0.60835,0.95351,0.27805,0.27024,0.11481,0.08104,2.13402,3.29705,2.42116,0.000484022,0.000484022,0.000484022
25,270.031,0.72204,0.59106,0.96045,0.33102,0.25019,0.17349,0.1321,2.12593,2.92207,2.39836,0.00048262,0.00048262,0.00048262
26,280.183,0.72658,0.57499,0.95613,0.32978,0.26071,0.15065,0.10762,2.09179,3.06769,2.35617,0.00048116,0.00048116,0.00048116
27,290.917,0.74475,0.60328,0.95949,0.26316,0.27255,0.12382,0.08799,2.10991,3.25621,2.34302,0.000479644,0.000479644,0.000479644
28,301.507,0.71042,0.82686,0.93288,0.33354,0.25842,0.1645,0.12234,2.10197,2.96361,2.34177,0.000478072,0.000478072,0.000478072
29,312.188,0.72356,0.58822,0.96357,0.26944,0.27176,0.11908,0.08367,2.1547,3.16944,2.42161,0.000476445,0.000476445,0.000476445
30,322.54,0.70802,0.56574,0.96325,0.28669,0.25094,0.11048,0.07699,2.13213,3.22346,2.40017,0.000474762,0.000474762,0.000474762
31,332.154,0.69705,0.56089,0.94802,0.27862,0.27124,0.15625,0.10097,2.1648,3.37887,2.43144,0.000473024,0.000473024,0.000473024
32,342.862,0.71829,0.57432,0.95312,0.31026,0.26465,0.13274,0.09586,2.11069,3.07383,2.38035,0.000471232,0.000471232,0.000471232
33,353.391,0.69699,0.55015,0.94639,0.28933,0.25873,0.11965,0.08309,2.13157,3.12451,2.40566,0.000469386,0.000469386,0.000469386
34,363.924,0.70562,0.56519,0.96198,0.27756,0.27739,0.16008,0.11825,2.12576,3.02896,2.36894,0.000467486,0.000467486,0.000467486
35,374.394,0.67633,0.5305,0.92923,0.27943,0.27288,0.1617,0.12003,2.07884,2.98075,2.32329,0.000465534,0.000465534,0.000465534
36,384.127,0.68892,0.54061,0.9321,0.30004,0.25808,0.13892,0.10164,2.10928,3.2016,2.36309,0.000463528,0.000463528,0.000463528
37,394.459,0.6694,0.51062,0.92962,0.31197,0.25888,0.14041,0.10263,2.12055,3.06231,2.44322,0.000461471,0.000461471,0.000461471
38,406.456,0.68417,0.54142,0.93647,0.30682,0.27574,0.14233,0.10357,2.09817,3.18816,2.43072,0.000459362,0.000459362,0.000459362
39,416.982,0.66328,0.51005,0.9321,0.27512,0.26715,0.13712,0.09685,2.10767,3.24057,2.39686,0.000457202,0.000457202,0.000457202
40,427.607,0.6603,0.51925,0.92064,0.31692,0.24843,0.16328,0.11872,2.07725,3.1132,2.4411,0.000454992,0.000454992,0.000454992
41,438.212,0.67553,0.51087,0.93297,0.27867,0.28495,0.14872,0.10408,2.15495,2.97247,2.48547,0.000452732,0.000452732,0.000452732
42,447.677,0.66572,0.50252,0.93763,0.27827,0.27719,0.11561,0.0793,2.16217,3.19696,2.48614,0.000450422,0.000450422,0.000450422
43,458.268,0.66878,0.50604,0.9342,0.33528,0.24492,0.16786,0.12466,2.14786,2.97872,2.44108,0.000448063,0.000448063,0.000448063
44,469.051,0.65582,0.50687,0.93318,0.39181,0.26465,0.18238,0.13086,2.11133,2.99675,2.41106,0.000445657,0.000445657,0.000445657
45,479.636,0.65792,0.50381,0.93199,0.32703,0.25823,0.13847,0.10043,2.10098,3.09441,2.41851,0.000443202,0.000443202,0.000443202
46,490.231,0.68142,0.51748,0.94332,0.3088,0.25873,0.13794,0.0988,2.11502,3.18267,2.44667,0.0004407,0.0004407,0.0004407
47,500.61,0.66395,0.50275,0.92959,0.31139,0.24821,0.14303,0.10119,2.12329,3.17566,2.41948,0.000438152,0.000438152,0.000438152
48,510.421,0.66038,0.50573,0.93384,0.26708,0.28384,0.1421,0.10379,2.13182,3.14022,2.43894,0.000435559,0.000435559,0.000435559
49,521.067,0.64469,0.48266,0.92468,0.3256,0.25785,0.158,0.11324,2.11309,3.22058,2.41314,0.00043292,0.00043292,0.00043292
50,531.656,0.63291,0.47071,0.92218,0.35303,0.23931,0.20268,0.14887,2.11337,3.04484,2.39399,0.000430236,0.000430236,0.000430236
51,542.31,0.65613,0.50605,0.93792,0.34233,0.24687,0.18425,0.13707,2.11212,3.17339,2.45582,0.000427509,0.000427509,0.000427509
52,552.882,0.63831,0.47389,0.92202,0.31343,0.24916,0.14983,0.11346,2.08979,2.97331,2.43865,0.000424738,0.000424738,0.000424738
53,562.495,0.65792,0.47036,0.94188,0.28049,0.27188,0.14157,0.10198,2.13114,3.13162,2.47458,0.000421925,0.000421925,0.000421925
54,573.025,0.6301,0.46261,0.91772,0.28396,0.28253,0.16337,0.12009,2.09635,3.05624,2.46289,0.000419071,0.000419071,0.000419071
55,583.744,0.63454,0.47287,0.92421,0.36655,0.25806,0.20482,0.15987,2.1004,3.02968,2.41556,0.000416175,0.000416175,0.000416175
56,594.373,0.62481,0.47526,0.91964,0.26663,0.27706,0.17762,0.13548,2.11467,3.09684,2.42742,0.000413238,0.000413238,0.000413238
57,605.02,0.60986,0.45822,0.91881,0.33599,0.25203,0.15213,0.1103,2.11621,3.1462,2.46754,0.000410262,0.000410262,0.000410262
58,615.472,0.65136,0.47965,0.93379,0.33356,0.25239,0.17971,0.13076,2.09091,3.08614,2.46478,0.000407248,0.000407248,0.000407248
59,625.884,0.62065,0.45852,0.91331,0.31056,0.26413,0.17519,0.13055,2.06861,3.01725,2.4247,0.000404194,0.000404194,0.000404194
60,636.428,0.61577,0.45647,0.9121,0.36287,0.24447,0.21609,0.1637,2.073,3.00106,2.43695,0.000401104,0.000401104,0.000401104
61,647.152,0.63444,0.45648,0.92504,0.29948,0.24716,0.17218,0.1322,2.10959,3.12841,2.44296,0.000397977,0.000397977,0.000397977
62,657.745,0.6476,0.52125,0.94751,0.35705,0.23865,0.20377,0.15151,2.10525,3.09074,2.44692,0.000394814,0.000394814,0.000394814
63,668.569,0.66064,0.46089,0.91257,0.31712,0.25901,0.20609,0.15782,2.10137,3.04359,2.43607,0.000391616,0.000391616,0.000391616
64,678.273,0.62255,0.45022,0.91379,0.28385,0.27694,0.15993,0.12024,2.10953,3.19239,2.40702,0.000388383,0.000388383,0.000388383
65,688.692,0.61447,0.43997,0.90763,0.37061,0.2605,0.16836,0.12429,2.09834,3.15863,2.40153,0.000385117,0.000385117,0.000385117
66,699.32,0.60226,0.43979,0.91522,0.35736,0.25485,0.20776,0.15352,2.07869,2.97029,2.40029,0.000381818,0.000381818,0.000381818
67,710.538,0.57824,0.41982,0.89574,0.30089,0.27169,0.17692,0.12959,2.06859,3.15245,2.39209,0.000378488,0.000378488,0.000378488
68,721.347,0.60594,0.4398,0.90873,0.3506,0.26443,0.17296,0.12613,2.09106,3.11501,2.41418,0.000375126,0.000375126,0.000375126
69,731.811,0.59791,0.427,0.90418,0.33114,0.24608,0.15056,0.11142,2.13037,3.14294,2.4665,0.000371734,0.000371734,0.000371734
70,741.661,0.58918,0.42938,0.90729,0.33642,0.25784,0.17005,0.12535,2.11769,3.17865,2.43909,0.000368313,0.000368313,0.000368313
71,752.477,0.59635,0.44171,0.90985,0.37323,0.24792,0.19678,0.14703,2.11493,3.08912,2.49159,0.000364863,0.000364863,0.000364863
72,763.36,0.61943,0.43977,0.93137,0.31963,0.26041,0.14927,0.1115,2.10117,3.22313,2.45275,0.000361385,0.000361385,0.000361385
73,774.142,0.5854,0.43638,0.90514,0.39056,0.24534,0.21313,0.15971,2.08885,3.07146,2.44599,0.00035788,0.00035788,0.00035788
74,784.726,0.56479,0.41506,0.88926,0.38153,0.24778,0.19902,0.14753,2.13383,3.16476,2.47324,0.00035435,0.00035435,0.00035435
75,794.827,0.58528,0.42367,0.90437,0.28422,0.28324,0.18183,0.13682,2.11715,3.12503,2.41326,0.000350794,0.000350794,0.000350794
76,804.908,0.57509,0.43177,0.90252,0.33626,0.25082,0.17746,0.13407,2.10288,3.25109,2.43297,0.000347214,0.000347214,0.000347214
77,815.669,0.58589,0.42613,0.91976,0.33977,0.24907,0.18872,0.14023,2.05507,3.0663,2.37194,0.000343611,0.000343611,0.000343611
78,826.378,0.58863,0.41738,0.90002,0.30732,0.25297,0.17514,0.13491,2.05464,3.17108,2.40093,0.000339985,0.000339985,0.000339985
79,838.443,0.5581,0.40957,0.8931,0.3048,0.27935,0.18936,0.14464,2.06697,3.11133,2.41903,0.000336338,0.000336338,0.000336338
80,849.27,0.5839,0.41713,0.90295,0.33046,0.26695,0.16499,0.12673,2.07807,3.10625,2.41422,0.00033267,0.00033267,0.00033267
81,859.806,0.57913,0.41482,0.90621,0.28384,0.2911,0.2152,0.1678,2.1068,3.11052,2.47613,0.000328982,0.000328982,0.000328982
82,869.673,0.57503,0.41606,0.89111,0.34879,0.25846,0.20351,0.1541,2.12214,3.17169,2.47799,0.000325275,0.000325275,0.000325275
83,880.376,0.57253,0.42837,0.89829,0.35482,0.2664,0.21221,0.15922,2.08853,3.05324,2.48924,0.00032155,0.00032155,0.00032155
84,891.148,0.55653,0.39009,0.89978,0.3398,0.25346,0.1993,0.15493,2.06854,3.24427,2.45524,0.000317809,0.000317809,0.000317809
85,901.97,0.57613,0.40856,0.89801,0.33793,0.26151,0.20572,0.15532,2.09214,3.1625,2.44655,0.000314051,0.000314051,0.000314051
86,912.787,0.57591,0.40811,0.90159,0.34683,0.25907,0.2021,0.14913,2.10781,3.13713,2.47087,0.000310278,0.000310278,0.000310278
87,922.747,0.56858,0.40685,0.90432,0.36307,0.25208,0.20525,0.1506,2.12096,3.17456,2.49685,0.00030649,0.00030649,0.00030649
88,932.939,0.56413,0.39828,0.89336,0.28368,0.28385,0.1885,0.14056,2.10087,3.13928,2.48582,0.00030269,0.00030269,0.00030269
89,944.109,0.55465,0.40063,0.89709,0.37202,0.24853,0.20549,0.15841,2.1079,3.13231,2.47323,0.000298877,0.000298877,0.000298877
90,955.276,0.55362,0.38532,0.88628,0.28008,0.28922,0.22152,0.16407,2.12615,3.22812,2.45672,0.000295052,0.000295052,0.000295052
91,966.093,0.55504,0.38822,0.89559,0.38824,0.24951,0.23459,0.17821,2.10758,3.21506,2.44297,0.000291218,0.000291218,0.000291218
92,978.561,0.54427,0.38432,0.89077,0.37576,0.25324,0.21048,0.16111,2.09542,3.27995,2.42803,0.000287373,0.000287373,0.000287373
93,989.362,0.53497,0.3823,0.88979,0.37882,0.25719,0.20197,0.15566,2.0766,3.26756,2.40103,0.00028352,0.00028352,0.00028352
94,998.958,0.53977,0.38787,0.88893,0.41836,0.25324,0.23307,0.1778,2.08946,3.13451,2.44581,0.000279659,0.000279659,0.000279659
95,1009.53,0.54735,0.38976,0.88855,0.36929,0.25535,0.20646,0.15603,2.08743,3.23443,2.39782,0.000275792,0.000275792,0.000275792
96,1021.86,0.53402,0.38095,0.88347,0.39125,0.25904,0.22674,0.16937,2.0791,3.15232,2.38915,0.000271919,0.000271919,0.000271919
97,1032.72,0.56194,0.39144,0.90314,0.34151,0.25674,0.22889,0.17793,2.08048,3.13695,2.45485,0.000268041,0.000268041,0.000268041
98,1043.61,0.53368,0.40347,0.90558,0.41081,0.25968,0.22002,0.17268,2.06943,3.12835,2.43554,0.000264159,0.000264159,0.000264159
99,1054.18,0.51183,0.37272,0.88693,0.31082,0.27035,0.20019,0.15434,2.11841,3.2819,2.50958,0.000260274,0.000260274,0.000260274
100,1065.93,0.53508,0.3839,0.87693,0.33746,0.25654,0.21157,0.15784,2.12792,3.22466,2.51026,0.000256388,0.000256388,0.000256388
101,1075.58,0.53924,0.37814,0.88757,0.30309,0.2743,0.18444,0.13573,2.07788,3.19347,2.45866,0.0002525,0.0002525,0.0002525
102,1086.23,0.52808,0.37743,0.88954,0.35432,0.25582,0.184,0.13848,2.10217,3.16069,2.51,0.000248612,0.000248612,0.000248612
103,1097.27,0.519,0.3712,0.88328,0.3764,0.26048,0.2044,0.14947,2.10557,3.09552,2.50329,0.000244726,0.000244726,0.000244726
104,1107.94,0.51803,0.37376,0.88593,0.34038,0.26087,0.20378,0.15203,2.09101,3.1951,2.48792,0.000240841,0.000240841,0.000240841
105,1118.68,0.51575,0.36949,0.88009,0.34703,0.26278,0.20562,0.15449,2.09096,3.20451,2.47172,0.000236959,0.000236959,0.000236959
106,1129.25,0.53211,0.37145,0.8893,0.2796,0.27957,0.1858,0.14039,2.07238,3.22059,2.44097,0.000233081,0.000233081,0.000233081
107,1138.97,0.53372,0.38282,0.89329,0.36305,0.25478,0.20471,0.15657,2.08503,3.19549,2.44453,0.000229208,0.000229208,0.000229208
108,1149.6,0.52401,0.36774,0.88086,0.38563,0.25313,0.20972,0.16005,2.10131,3.2145,2.48496,0.000225341,0.000225341,0.000225341
109,1160.68,0.51239,0.36759,0.88559,0.38905,0.25741,0.19997,0.1479,2.06873,3.19945,2.45087,0.00022148,0.00022148,0.00022148
110,1171.45,0.50804,0.36563,0.87858,0.3821,0.25905,0.23223,0.17336,2.05113,3.1731,2.43597,0.000217627,0.000217627,0.000217627
111,1182.31,0.50771,0.36749,0.86591,0.3872,0.26052,0.23137,0.17977,2.05013,3.13173,2.49696,0.000213782,0.000213782,0.000213782
